glass_id,wavelength_um,thickness_mm,n_values,values,spread,source_ids,data_types,status,reason,action
OHARA-L-LAH85,0.46,10.0,2,0.975; 0.987,0.012,OHARA-AGF-2026-05-29,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
OHARA-L-LAH85,0.48,10.0,2,0.983; 0.992,0.009,OHARA-AGF-2026-05-29,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
OHARA-L-LAH85,0.5,10.0,2,0.99; 0.995,0.005,OHARA-AGF-2026-05-29,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
OHARA-L-LAH85,0.55,10.0,2,0.998; 0.999,0.001,OHARA-AGF-2026-05-29,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
OHARA-L-LAH85,1.6,10.0,2,0.998; 0.999,0.001,OHARA-AGF-2026-05-29,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
OHARA-L-LAH85,1.8,10.0,2,0.992; 0.996,0.004,OHARA-AGF-2026-05-29,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
OHARA-L-LAH85,2.0,10.0,2,0.973; 0.982,0.009,OHARA-AGF-2026-05-29,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
OHARA-L-LAH85,2.2,10.0,2,0.933; 0.947,0.014,OHARA-AGF-2026-05-29,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
OHARA-L-LAH85,2.4,10.0,2,0.77; 0.8,0.03,OHARA-AGF-2026-05-29,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
CDGM-H-LAF2,2.4,10.0,2,0.8; 0.843,0.043,CDGM-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_BF1,1.5,10.0,2,1e-06; 0.992,0.991999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_BF7,1.5,10.0,2,1e-06; 0.99,0.989999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_BF8,1.5,10.0,2,1e-06; 0.993,0.992999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_BF11,1.1,10.0,2,1e-06; 0.988,0.987999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_BF16,1.5,10.0,2,1e-06; 0.993,0.992999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_BF21,1.2,10.0,2,1e-06; 0.995,0.994999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_BF24,1.1,10.0,2,1e-06; 0.993,0.992999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_BF25,1.5,10.0,2,1e-06; 0.985,0.984999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_BF28,1.5,10.0,2,1e-06; 0.992,0.991999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_BK10,0.44,10.0,2,0.986; 0.99,0.004,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_CTK3,1.5,10.0,2,1e-06; 0.989,0.988999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_CTK8,1.5,10.0,2,1e-06; 0.996,0.995999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_CTK9,1.5,10.0,2,1e-06; 0.991,0.990999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_CTK12,1.5,10.0,2,1e-06; 0.994,0.993999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_CTK19,1.5,10.0,2,1e-06; 0.998,0.997999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_F1,1.5,10.0,2,1e-06; 0.996,0.995999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_F4,1.1,10.0,2,1e-06; 0.997,0.996999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_F6,1.5,10.0,2,1e-06; 0.994,0.993999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_F8,1.1,10.0,2,1e-06; 0.994,0.993999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_F13,1.5,10.0,2,1e-06; 0.994,0.993999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_KF7,1.5,10.0,2,1e-06; 0.992,0.991999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_LF5,1.5,10.0,2,1e-05; 0.995,0.99499,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_LF7,1.1,10.0,2,1e-06; 0.998,0.997999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_TBF10,1.5,10.0,2,1e-06; 0.999,0.998999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_TF1,1.5,10.0,2,1e-06; 0.993,0.992999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_TF2,1.5,10.0,2,1e-06; 0.993,0.992999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_TF3,1.5,10.0,2,1e-06; 0.995,0.994999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_TF4,1.5,10.0,2,1e-06; 0.996,0.995999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_TF5,1.5,10.0,2,1e-06; 0.995,0.994999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_TF7,1.5,10.0,2,1e-06; 0.996,0.995999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_TF8,1.5,10.0,2,1e-06; 0.993,0.992999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_TF10,1.5,10.0,2,1e-06; 0.997,0.996999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_TK14,1.5,10.0,2,1e-06; 0.99,0.989999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_TK16,1.5,10.0,2,1e-06; 0.985,0.984999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_TK17,1.5,10.0,2,1e-06; 0.992,0.991999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_TK21,1.5,10.0,2,1e-06; 0.992,0.991999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
LZOS-LZ_TK23,1.5,10.0,2,1e-06; 0.987,0.986999,LZOS-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
RPO-VC78_MOLD,0.6,10.0,2,0.997; 0.999,0.002,RPO-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
RPO-VC78_MOLD,0.7,10.0,2,0.998; 0.999,0.001,RPO-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
RPO-VC78_MOLD,0.8,10.0,2,0.998; 0.999,0.001,RPO-AGF-NZHAGEN-MIRROR,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
