source_id,manufacturer,source_name,source_url,source_document,publication_date,access_date,license,notes
CDGM-AGF-NZHAGEN-MIRROR,CDGM,CDGM Zemax catalog (CDGM-AGF-NZHAGEN-MIRROR),https://github.com/nzhagen/zemaxglass/tree/master/src/ZemaxGlass/AGF_files,CDGM-AGF-NZHAGEN-MIRROR,,2026-09-21,mirror-vintage-unknown; verify vs manufacturer catalog,Third-party mirror via nzhagen/zemaxglass; vintage unknown.
CORNING-AGF-NZHAGEN-MIRROR,CORNING,CORNING Zemax catalog (CORNING-AGF-NZHAGEN-MIRROR),https://github.com/nzhagen/zemaxglass/tree/master/src/ZemaxGlass/AGF_files,CORNING-AGF-NZHAGEN-MIRROR,,2026-09-21,mirror-vintage-unknown; verify vs manufacturer catalog,Third-party mirror via nzhagen/zemaxglass; vintage unknown.
HIKARI-AGF-NZHAGEN-MIRROR,HIKARI,HIKARI Zemax catalog (HIKARI-AGF-NZHAGEN-MIRROR),https://github.com/nzhagen/zemaxglass/tree/master/src/ZemaxGlass/AGF_files,HIKARI-AGF-NZHAGEN-MIRROR,,2026-09-21,mirror-vintage-unknown; verify vs manufacturer catalog,Third-party mirror via nzhagen/zemaxglass; vintage unknown.
HOYA-AGF-NZHAGEN-MIRROR,HOYA,HOYA Zemax catalog (HOYA-AGF-NZHAGEN-MIRROR),https://github.com/nzhagen/zemaxglass/tree/master/src/ZemaxGlass/AGF_files,HOYA-AGF-NZHAGEN-MIRROR,,2026-09-21,mirror-vintage-unknown; verify vs manufacturer catalog,Third-party mirror via nzhagen/zemaxglass; vintage unknown.
LZOS-AGF-NZHAGEN-MIRROR,LZOS,LZOS Zemax catalog (LZOS-AGF-NZHAGEN-MIRROR),https://github.com/nzhagen/zemaxglass/tree/master/src/ZemaxGlass/AGF_files,LZOS-AGF-NZHAGEN-MIRROR,,2026-09-21,mirror-vintage-unknown; verify vs manufacturer catalog,Third-party mirror via nzhagen/zemaxglass; vintage unknown.
NIKON-AGF-NZHAGEN-MIRROR,NIKON,NIKON Zemax catalog (NIKON-AGF-NZHAGEN-MIRROR),https://github.com/nzhagen/zemaxglass/tree/master/src/ZemaxGlass/AGF_files,NIKON-AGF-NZHAGEN-MIRROR,,2026-09-21,mirror-vintage-unknown; verify vs manufacturer catalog,Third-party mirror via nzhagen/zemaxglass; vintage unknown.
SUMITA-AGF-NZHAGEN-MIRROR,SUMITA,SUMITA Zemax catalog (SUMITA-AGF-NZHAGEN-MIRROR),https://github.com/nzhagen/zemaxglass/tree/master/src/ZemaxGlass/AGF_files,SUMITA-AGF-NZHAGEN-MIRROR,,2026-09-21,mirror-vintage-unknown; verify vs manufacturer catalog,Third-party mirror via nzhagen/zemaxglass; vintage unknown.
INFRARED-AGF-NZHAGEN-MIRROR,INFRARED,INFRARED Zemax catalog (INFRARED-AGF-NZHAGEN-MIRROR),https://github.com/nzhagen/zemaxglass/tree/master/src/ZemaxGlass/AGF_files,INFRARED-AGF-NZHAGEN-MIRROR,,2026-09-21,mirror-vintage-unknown; verify vs manufacturer catalog,Third-party mirror via nzhagen/zemaxglass; vintage unknown.
LIGHTPATH-AGF-NZHAGEN-MIRROR,LIGHTPATH,LIGHTPATH Zemax catalog (LIGHTPATH-AGF-NZHAGEN-MIRROR),https://github.com/nzhagen/zemaxglass/tree/master/src/ZemaxGlass/AGF_files,LIGHTPATH-AGF-NZHAGEN-MIRROR,,2026-09-21,mirror-vintage-unknown; verify vs manufacturer catalog,Third-party mirror via nzhagen/zemaxglass; vintage unknown.
RPO-AGF-NZHAGEN-MIRROR,RPO,RPO Zemax catalog (RPO-AGF-NZHAGEN-MIRROR),https://github.com/nzhagen/zemaxglass/tree/master/src/ZemaxGlass/AGF_files,RPO-AGF-NZHAGEN-MIRROR,,2026-09-21,mirror-vintage-unknown; verify vs manufacturer catalog,Third-party mirror via nzhagen/zemaxglass; vintage unknown.
UMICORE-AGF-NZHAGEN-MIRROR,UMICORE,UMICORE Zemax catalog (UMICORE-AGF-NZHAGEN-MIRROR),https://github.com/nzhagen/zemaxglass/tree/master/src/ZemaxGlass/AGF_files,UMICORE-AGF-NZHAGEN-MIRROR,,2026-09-21,mirror-vintage-unknown; verify vs manufacturer catalog,Third-party mirror via nzhagen/zemaxglass; vintage unknown.
ZEON-AGF-NZHAGEN-MIRROR,ZEON,ZEON Zemax catalog (ZEON-AGF-NZHAGEN-MIRROR),https://github.com/nzhagen/zemaxglass/tree/master/src/ZemaxGlass/AGF_files,ZEON-AGF-NZHAGEN-MIRROR,,2026-09-21,mirror-vintage-unknown; verify vs manufacturer catalog,Third-party mirror via nzhagen/zemaxglass; vintage unknown.
ARTON-AGF-NZHAGEN-MIRROR,ARTON,ARTON Zemax catalog (ARTON-AGF-NZHAGEN-MIRROR),https://github.com/nzhagen/zemaxglass/tree/master/src/ZemaxGlass/AGF_files,ARTON-AGF-NZHAGEN-MIRROR,,2026-09-21,mirror-vintage-unknown; verify vs manufacturer catalog,Third-party mirror via nzhagen/zemaxglass; vintage unknown.
TOPAS-AGF-NZHAGEN-MIRROR,TOPAS,TOPAS Zemax catalog (TOPAS-AGF-NZHAGEN-MIRROR),https://github.com/nzhagen/zemaxglass/tree/master/src/ZemaxGlass/AGF_files,TOPAS-AGF-NZHAGEN-MIRROR,,2026-09-21,mirror-vintage-unknown; verify vs manufacturer catalog,Third-party mirror via nzhagen/zemaxglass; vintage unknown.
ARCHER-AGF-NZHAGEN-MIRROR,ARCHER,ARCHER Zemax catalog (ARCHER-AGF-NZHAGEN-MIRROR),https://github.com/nzhagen/zemaxglass/tree/master/src/ZemaxGlass/AGF_files,ARCHER-AGF-NZHAGEN-MIRROR,,2026-09-21,mirror-vintage-unknown; verify vs manufacturer catalog,Third-party mirror via nzhagen/zemaxglass; vintage unknown.
